path	translation	split
common_voice_ja_19673949.mp3	Many factors contributed to the price increase.	test
common_voice_ja_19673951.mp3	You did use a condom for contraception, didn’t you?	test
common_voice_ja_19673952.mp3	My father told me to always be cheerful and brave.	test
common_voice_ja_19673953.mp3	Of the many facets of city life, he emphasized the convenience.	test
common_voice_ja_20023548.mp3	Besides, there are probably others who wrote their will.	test
common_voice_ja_20023549.mp3	I borrowed three books from the library.	test
common_voice_ja_20023550.mp3	I am just in the middle of dinner.	test
common_voice_ja_20023551.mp3	I thought of one excuse after another.	test
common_voice_ja_20023552.mp3	The nursing home needs health care appliances and lap blankets.	test
common_voice_ja_20023827.mp3	For the first time in a long time, I was touched by a longed-for human kindness. I felt at peace that night.	test
common_voice_ja_20023828.mp3	Dad reads the paper while having breakfast.	test
common_voice_ja_20023829.mp3	Look at those flowers blowing in the wind.	test
common_voice_ja_20023830.mp3	Why weren’t you in class?	test
common_voice_ja_20023831.mp3	She looks very scared.	test
common_voice_ja_19816240.mp3	This is my favorite song.	test
common_voice_ja_19816241.mp3	Her eyes sparkled as she ran.	test
common_voice_ja_19816242.mp3	“Do you know her address?,” She asked me.	test
common_voice_ja_19816243.mp3	This is a big, lively town.	test
common_voice_ja_19816244.mp3	I’m looking for a black wallet like this one.	test
common_voice_ja_19816250.mp3	This elevator stops between the second and ninth floors.	test
common_voice_ja_19816251.mp3	Dust resulting from making a hole in the roof with an airtight electric drill is quickly sucked up.	test
common_voice_ja_19816252.mp3	Please don’t ask.	test
common_voice_ja_19816253.mp3	Where is the bathroom?	test
common_voice_ja_19816254.mp3	She went to look for her missing child.	test
common_voice_ja_19682060.mp3	The poor have no leisure.	test
common_voice_ja_19682065.mp3	The conductors who come to inspect the tickets also turn a blind eye.	test
common_voice_ja_19682070.mp3	She slowly drifted away from me.	test
common_voice_ja_19682074.mp3	The soldiers blockaded the road to the town.	test
common_voice_ja_19682078.mp3	My father became ill, so we sent for a doctor.	test
common_voice_ja_19682407.mp3	I have a cold and a headache.	test
common_voice_ja_19682408.mp3	The party yesterday was a lot of fun.	test
common_voice_ja_19682409.mp3	You might say that there is nothing more frightening than encountering trouble mid-flight in a plane with no way out.	test
common_voice_ja_19682410.mp3	The wind has eased off.	test
common_voice_ja_19682411.mp3	My father was promoted to company president.	test
common_voice_ja_20029398.mp3	I quit the company last month.	test
common_voice_ja_20029400.mp3	In the evening I took the dog for a walk.	test
common_voice_ja_20029401.mp3	As using a condom reduces sexual pleasure, I prefer to do it without one where possible.	test
common_voice_ja_20029402.mp3	She has her husband at her beck and call.	test
common_voice_ja_20029408.mp3	I can leave early in the morning if need be.	test
common_voice_ja_20029409.mp3	I forgot to switch the electricity off when I left the house.	test
common_voice_ja_20029410.mp3	Can I have the room number, please?	test
common_voice_ja_20029411.mp3	I study with Yamada at the library.	test
common_voice_ja_20029412.mp3	Sensei, this is my mother.	test
common_voice_ja_20029423.mp3	The hungry boys headed for the cafeteria.	test
common_voice_ja_20029424.mp3	I going to get my hair cut at the hairdressers next week.	test
common_voice_ja_20029425.mp3	I gave my dad some flowers.	test
common_voice_ja_20029426.mp3	Prices will rise eventually.	test
common_voice_ja_20029427.mp3	Kimura made seven sweets.	test
common_voice_ja_19580184.mp3	That’s right.	test
common_voice_ja_19580185.mp3	I gave mom a birthday present.	test
common_voice_ja_19580186.mp3	Inside the room, it was remarkably quiet.	test
common_voice_ja_19580187.mp3	This food is not sold in Japan.	test
common_voice_ja_19580188.mp3	As they have built a new road, it is more convenient to get to the village.	test
common_voice_ja_19580203.mp3	The school is closed.	test
common_voice_ja_19580204.mp3	How is your cold?	test
common_voice_ja_19580205.mp3	There is no-one in the room.	test
common_voice_ja_19580206.mp3	If you see her, you will fall in love with her.	test
common_voice_ja_19580207.mp3	I hold my chopsticks in my left hand.	test
common_voice_ja_19580233.mp3	The sky is blue.	test
common_voice_ja_19580234.mp3	I would like some hot tea.	test
common_voice_ja_19580235.mp3	Every week my father saves part of his salary in the bank.	test
common_voice_ja_19580236.mp3	She couldn’t hold back the tears.	test
common_voice_ja_19580237.mp3	I’m going to the police box because I lost my wallet.	test
common_voice_ja_19584425.mp3	I’m going to take my sweater off because I’m hot.	test
common_voice_ja_19584426.mp3	Why are you studying Japanese?	test
common_voice_ja_19584427.mp3	My father can swim but my mother can’t.	test
common_voice_ja_19907195.mp3	The northern part of Japan gets really cold in winter.	test
common_voice_ja_19907196.mp3	I always use this pencil, so it has gotten quite short.	test
common_voice_ja_19907197.mp3	She can’t help laughing.	test
common_voice_ja_19907198.mp3	There are many books lined up on the bookshelf.	test
common_voice_ja_19907199.mp3	He changed his plans to fit with those of his wife.	test
common_voice_ja_19950090.mp3	Whilst feeling reproachful and worried, the people moved towards a compromise.	test
common_voice_ja_19950091.mp3	My husband enjoys a drink every now and then.	test
common_voice_ja_19950092.mp3	Even in the teachers’ room we can lower our guard and discuss anything.	test
common_voice_ja_19950093.mp3	She boasts about her husband’s wealth.	test
common_voice_ja_19950094.mp3	They took it upon themselves to borrow the dictionary while I was out of the room.	test
common_voice_ja_19950100.mp3	Her eyes welled up with tears as she talked about the accident.	test
common_voice_ja_19950102.mp3	Visual impairment is a possible side effect.	test
common_voice_ja_19950104.mp3	Sometimes I do my shopping at this fruit and vegetable store.	test
common_voice_ja_19950106.mp3	You can’t borrow magazines from the library.	test
common_voice_ja_19950108.mp3	They cleared the snow with a shovel.	test
common_voice_ja_20120408.mp3	The poor harvest led to an extreme lack of food.	test
common_voice_ja_20120409.mp3	Dad groaned at my stupid question.	test
common_voice_ja_20120410.mp3	I gave her a lift to town.	test
common_voice_ja_20120411.mp3	There is no ice, and it is too cold a day to drink iced tea anyway.	test
common_voice_ja_20120412.mp3	If you don’t do the right thing you could be arrested.	test
common_voice_ja_20198197.mp3	I bought a magazine at the bookstore.	test
common_voice_ja_20198199.mp3	Peace talks begin this week.	test
common_voice_ja_20198201.mp3	The guy who runs that fruit and veg store is always full of life.	test
common_voice_ja_20198209.mp3	Thunderclouds hang in a blue sky hazy with heat.	test
common_voice_ja_20198212.mp3	With the lingering shock of her father’s death, she couldn’t muster the will to leave the house.	test
common_voice_ja_20198310.mp3	What do you think of Japanese food?	test
common_voice_ja_20198312.mp3	In Japan, you often hear profanities at the ballpark.	test
common_voice_ja_20198315.mp3	The submarine’s periscope jutted out of the water.	test
common_voice_ja_20198318.mp3	There are a lot of independent brokers at estate agencies.	test
common_voice_ja_20198319.mp3	The iceberg washed up on the beach.	test
common_voice_ja_20198441.mp3	Even though he was poor, he wouldn’t borrow money from anyone.	test
common_voice_ja_20198443.mp3	A sensible person is one who employs sense and reason.	test
common_voice_ja_20198446.mp3	I’m not in the least bit worried about catching a cold.	test
common_voice_ja_20198448.mp3	Powders such as aluminum, magnesium, and silicon are explosive.	test
common_voice_ja_20198450.mp3	Dad let me go swimming.	test
common_voice_ja_20198568.mp3	As their oldest friend, I was recommended to write a few lines for their epitaph.	test
common_voice_ja_20198569.mp3	That person has really long legs.	test
common_voice_ja_20198570.mp3	She has a habit of staying up late.	test
common_voice_ja_20198571.mp3	There is a notebook in my bag.	test
common_voice_ja_20198572.mp3	Contrary to the norm for women, most people are enthusiastic about somehow flying in the face of common sense and daring to stand out.	test
common_voice_ja_19620102.mp3	I am going for dinner when I’ve finished work.	test
common_voice_ja_19620103.mp3	He couldn’t afford to continue his research.	test
common_voice_ja_19620104.mp3	When I looked into the room there was no-one there.	test
common_voice_ja_19620105.mp3	Even though the winter was long and harsh, that alone has provided us with great joy.	test
common_voice_ja_19620106.mp3	You cannot skate as the ice is too thin.	test
common_voice_ja_19620158.mp3	The utility pole shook and swayed making its shadow flicker in the grass.	test
common_voice_ja_19620159.mp3	Have you finished the test? In that case, please hand it in.	test
common_voice_ja_19620160.mp3	There is a round box over there.	test
common_voice_ja_19620161.mp3	There should definitely be a change.	test
common_voice_ja_19620163.mp3	She practiced the piano every day.	test
common_voice_ja_19621166.mp3	Dad rarely goes out on a Sunday.	test
common_voice_ja_19621167.mp3	Middle distance truck drivers are mostly middle-aged.	test
common_voice_ja_19621168.mp3	People have begun to cultivate Coho salmon by importing their eggs, incubating and hatching them, and raising them in the sea.	test
common_voice_ja_19621169.mp3	I will return the book tomorrow without fail.	test
common_voice_ja_19621170.mp3	Can you put her on the phone, please?	test
common_voice_ja_19817853.mp3	Conflict is the essence of tragedy, just like in a short story.	test
common_voice_ja_19817854.mp3	She tends to be pessimistic.	test
common_voice_ja_19817855.mp3	She is the double of her mother.	test
common_voice_ja_19817856.mp3	I thought she would be some help, but actually, it would have been better if she wasn’t there.	test
common_voice_ja_19817857.mp3	What time is it now?	test
common_voice_ja_19485593.mp3	I want to live somewhere quiet and beautiful.	test
common_voice_ja_19485594.mp3	All of the soldiers had a map of the area.	test
common_voice_ja_19485595.mp3	This is a dish that can be made at home.	test
common_voice_ja_19485596.mp3	It was sunny in Tokyo.	test
common_voice_ja_19485597.mp3	Understood. Drive safely.	test
common_voice_ja_19485618.mp3	At our junior high school, you have to bring a packed lunch. If you can’t, the school sells bread for 50 yen.	test
common_voice_ja_19485619.mp3	My husband is currently unemployed and looking for work.	test
common_voice_ja_19485620.mp3	She started learning the piano when she was six years old.	test
common_voice_ja_19485621.mp3	Nothing tastes quite as good as a beer after baseball.	test
common_voice_ja_19485622.mp3	The land in the Philippines in ancient times was plentiful.	test
common_voice_ja_19485623.mp3	She sometimes suffers from depression.	test
common_voice_ja_19485624.mp3	Eventually, I’d like to raise them in a hot place where a lot of Japanese people live like Hawaii or California.	test
common_voice_ja_19485625.mp3	It is often said that just because someone is poor, they are not necessarily unhappy.	test
common_voice_ja_19485626.mp3	Are there any side effects?	test
common_voice_ja_19485627.mp3	That person has long thin legs.	test
common_voice_ja_19485633.mp3	I bought a calendar for next year at the department store.	test
common_voice_ja_19485634.mp3	Last month, a department store was built in the neighboring town.	test
common_voice_ja_19485635.mp3	Every time I see her, she smiles.	test
common_voice_ja_19485636.mp3	That is today’s newspaper.	test
common_voice_ja_19485637.mp3	The light was on in the room.	test
common_voice_ja_19485654.mp3	Noppera-bо̄ is a kind of ghost that is faceless with no features.	test
common_voice_ja_19485655.mp3	I buy a ticket when I ride the train.	test
common_voice_ja_19485656.mp3	Dad decided to quit smoking.	test
common_voice_ja_19485657.mp3	She is fundraising for the blind.	test
common_voice_ja_20068743.mp3	I was tired last night so I had an early night.	test
common_voice_ja_20068744.mp3	My father grabbed my arm.	test
common_voice_ja_20068746.mp3	Sometimes children play catch on the cracked straight pathway in the confined grounds.	test
common_voice_ja_20068747.mp3	Her name is on the list.	test
common_voice_ja_20068788.mp3	Foreigners are perfectionists.	test
common_voice_ja_20068789.mp3	There is an elevator over there.	test
common_voice_ja_20068790.mp3	This is an old, famous university.	test
common_voice_ja_20068791.mp3	I will give the letter to Tanaka.	test
common_voice_ja_20068792.mp3	The following day I helped my father with the election acting as manager on his campaign tour.	test
common_voice_ja_20068814.mp3	She spends a lot of money on clothes.	test
common_voice_ja_20068815.mp3	I watched TV yesterday. Then studied some Japanese.	test
common_voice_ja_20068816.mp3	Please hand in the paper that you wrote your answers on.	test
common_voice_ja_20068817.mp3	I read a book every night before going to sleep.	test
common_voice_ja_20068883.mp3	I took a lot of photos on my travels.	test
common_voice_ja_20068884.mp3	She pretended to be ill.	test
common_voice_ja_20068885.mp3	I will transfer the money by the seventh.	test
common_voice_ja_20068886.mp3	She beamed at me when she entered the room.	test
common_voice_ja_20068887.mp3	She is a capable, reliable partner.	test
common_voice_ja_20218528.mp3	He had no choice but to write off the debt.	test
common_voice_ja_20218529.mp3	Many people died.	test
common_voice_ja_20218530.mp3	Even if she was unhappy, she never let it show.	test
common_voice_ja_20218531.mp3	My father is tall.	test
common_voice_ja_20218558.mp3	She is very polite.	test
common_voice_ja_20218559.mp3	There is no need to settle for budget travel.	test
common_voice_ja_20218560.mp3	The pampas grass, backlit by the morning sunlight, glistens beautifully.	test
common_voice_ja_20218561.mp3	My dad sometimes helps me with my homework.	test
common_voice_ja_20218562.mp3	She was forced to marry him.	test
common_voice_ja_19534020.mp3	If the system stops working, of course, it will cause problems.	test
common_voice_ja_19534021.mp3	Don’t make fun of them!	test
common_voice_ja_19534022.mp3	The best thing to do when you’re feeling tired is to go in the bath.	test
common_voice_ja_19534023.mp3	Don’t give me such an icy look.	test
common_voice_ja_19534024.mp3	Many called for a larger Chamber, but Prime Minister Churchill resisted.	test
common_voice_ja_19534030.mp3	That person is an exchange student at this school.	test
common_voice_ja_19534031.mp3	Every conceivable effort is necessary to reduce the number of aviation accidents to as close to zero as possible.	test
common_voice_ja_19534032.mp3	You can go home as soon as you have finished painting the wall.	test
common_voice_ja_19534033.mp3	The comparative study has now made rapid progress.	test
common_voice_ja_19534034.mp3	Thanks for everything.	test
common_voice_ja_19534040.mp3	The high risk of litigation also weighs heavily on obstetricians.	test
common_voice_ja_19534041.mp3	If there is a decline in parking offenses and traffic accidents, it should clear everything up at once.	test
common_voice_ja_19534042.mp3	The room was in complete darkness so I couldn’t see anything.	test
common_voice_ja_19534043.mp3	Her hat was blown off in the wind.	test
common_voice_ja_19534044.mp3	My room is bright because it is on the south side.	test
common_voice_ja_19534055.mp3	My grandmother is rolling the dice in fairly good spirits.	test
common_voice_ja_19534056.mp3	It is hard because I have to remember a lot of kanji.	test
common_voice_ja_19534057.mp3	The train was late due to the typhoon.	test
common_voice_ja_19534058.mp3	The people in the room didn’t say anything.	test
common_voice_ja_19534059.mp3	Like you, I don’t believe the ratings on Yahoo Auctions.	test
common_voice_ja_19534060.mp3	The students line up straight along the corridor.	test
common_voice_ja_19534061.mp3	Japan has strong winds in spring.	test
common_voice_ja_19534062.mp3	Breaking the silence for the first time, Christ whispered.	test
common_voice_ja_19534063.mp3	I stopped doing it after my father yelled at me.	test
common_voice_ja_19534064.mp3	That person over there might be Yamada.	test
common_voice_ja_19534085.mp3	I phoned home but no-one was there.	test
common_voice_ja_19534086.mp3	I had blood taken for a blood test at the hospital.	test
common_voice_ja_19534087.mp3	There are two dogs over there.	test
common_voice_ja_19534088.mp3	What country are you from?	test
common_voice_ja_19534089.mp3	Infants often don’t know the difference between reality and fiction.	test
common_voice_ja_19534110.mp3	There are several pictures on the wall.	test
common_voice_ja_19534111.mp3	She is more wise than clever.	test
common_voice_ja_19534112.mp3	I heard that Yamada is going to Tokyo next week.	test
common_voice_ja_19534113.mp3	However, there are a minimal number of hospitals that offer inpatient treatment for gambling addiction.	test
common_voice_ja_19534114.mp3	The owner will invite the capable Hyun Wook to come and be the new chef.	test
common_voice_ja_19534120.mp3	I’ll leave the house early today.	test
common_voice_ja_19534121.mp3	Lights illuminated the stage from both sides.	test
common_voice_ja_19534122.mp3	There was an amazing view of Mount Fuji.	test
common_voice_ja_19534123.mp3	I am waiting for the bus.	test
common_voice_ja_19534124.mp3	I will switch on the computer.	test
common_voice_ja_19534135.mp3	I can’t play tennis on days when the wind is strong.	test
common_voice_ja_19534136.mp3	Tom said he would draw her a map if she needed one.	test
common_voice_ja_19534137.mp3	The wind was very strong.	test
common_voice_ja_19534138.mp3	Shall we take a vacation together?	test
common_voice_ja_19534139.mp3	It is impossible to imagine human society without conflict.	test
common_voice_ja_19534150.mp3	How can you write such good English in a letter but you can’t speak it?	test
common_voice_ja_19534151.mp3	You write the answers to the questions on this paper.	test
common_voice_ja_19534152.mp3	They wanted to improve their social status.	test
common_voice_ja_19534153.mp3	Necessity knows no law.	test
common_voice_ja_19534154.mp3	It’s insomnia.	test
common_voice_ja_19485543.mp3	Father sent for the family doctor.	test
common_voice_ja_19485544.mp3	I borrowed Kimura’s phone.	test
common_voice_ja_19485546.mp3	It never rains but it pours.	test
common_voice_ja_19485547.mp3	I understand but there is nothing I can do about it.	test
common_voice_ja_19485548.mp3	I have a runny nose.	test
common_voice_ja_19485549.mp3	She was orphaned after losing both parents in a plane crash.	test
common_voice_ja_19485550.mp3	My cold isn’t getting any better.	test
common_voice_ja_19485551.mp3	I forgot to bring anything to write with.	test
common_voice_ja_19485552.mp3	The “Morinaga no oishii gyūnyū” brand of milk comes in a carton with a milk bottle set against a dark blue background.	test
common_voice_ja_19485553.mp3	A bird is flying in the sky over there.	test
common_voice_ja_19485554.mp3	She came with her mother.	test
common_voice_ja_19485555.mp3	She is not great at conversation.	test
common_voice_ja_19485556.mp3	I’m a student.	test
common_voice_ja_19485557.mp3	If it is cheap, I’ll buy it.	test
common_voice_ja_19485558.mp3	She watched the floating clouds.	test
common_voice_ja_19485559.mp3	I’m not sure this happiness can last forever.	test
common_voice_ja_19485560.mp3	That might be just about right for a warm-up.	test
common_voice_ja_19485561.mp3	Father was always late for the bus.	test
common_voice_ja_19485562.mp3	I also prefer to have my hair up.	test
common_voice_ja_19485563.mp3	She boasts about her father being rich.	test
common_voice_ja_19485564.mp3	She couldn’t come because she was sick.	test
common_voice_ja_19485565.mp3	You have to be prepared for an emergency.	test
common_voice_ja_19485566.mp3	Everyone knows Mount Fuji.	test
common_voice_ja_19485567.mp3	The bearer of this letter is my friend Suzuki.	test
common_voice_ja_19485568.mp3	They helped me because they felt sorry for me.	test
common_voice_ja_19485569.mp3	I slept for eight hours last night.	test
common_voice_ja_19485570.mp3	The wind died down and it suddenly fell quiet.	test
common_voice_ja_19485571.mp3	She employed him as a programmer.	test
common_voice_ja_19485572.mp3	It is being manipulated by speculators looking to get rich.	test
common_voice_ja_19485573.mp3	He managed the company while his father was sick.	test
common_voice_ja_19485574.mp3	The Zyllnhardtsche area was incorporated into Württemberg.	test
common_voice_ja_19485575.mp3	Father set the ladders against the tree.	test
common_voice_ja_19485576.mp3	You cannot go into this room.	test
common_voice_ja_19485577.mp3	I read the book.	test
common_voice_ja_19485578.mp3	To Tanaka's right is Yamada.	test
common_voice_ja_19485579.mp3	Try not to catch a cold.	test
common_voice_ja_19485580.mp3	Because they say love is blind, right?	test
common_voice_ja_19485581.mp3	It is hotter this year than last year.	test
common_voice_ja_19485582.mp3	She said she was ill but that was a lie.	test
common_voice_ja_19485588.mp3	I don't think she looks like her mother.	test
common_voice_ja_19485589.mp3	Dad stretched both of his legs out in front of the fire and took a nap on the sofa.	test
common_voice_ja_19485590.mp3	The Japanese were definitely not a race unaccustomed to humor.	test
common_voice_ja_19485591.mp3	Humor is the best antidote to arrogance.	test
common_voice_ja_19485592.mp3	I am going to have dinner at a restaurant today.	test
common_voice_ja_19485598.mp3	Let me take that luggage.	test
common_voice_ja_19485599.mp3	Will the starling chick be returned to its parent?	test
common_voice_ja_19485600.mp3	Did Edgar use to be a magician as well?	test
common_voice_ja_19485601.mp3	I can’t buy it; I’m too poor.	test
common_voice_ja_19485602.mp3	I go abroad once a year.	test
common_voice_ja_19485868.mp3	She is really behind in her studies.	test
common_voice_ja_19485869.mp3	There are two dictionaries and a magazine on the teacher’s desk.	test
common_voice_ja_19485870.mp3	The process of transforming a substance directly from a solid into a gas is known as sublimation.	test
common_voice_ja_19485871.mp3	Is there a bath?	test
common_voice_ja_19485872.mp3	It will easily take half a day just to sort out the mail delivered while I was away.	test
common_voice_ja_19485873.mp3	In the evening I went for a walk in the park.	test
common_voice_ja_19485874.mp3	She always practices the piano before dinner.	test
common_voice_ja_19485875.mp3	While he was abroad, dad kept in touch with us through letters and phone calls.	test
common_voice_ja_19485876.mp3	You can drink alcohol when you become an adult.	test
common_voice_ja_19485877.mp3	He was alone in his room.	test
common_voice_ja_19485883.mp3	She couldn’t stand the heat inside the train.	test
common_voice_ja_19485884.mp3	It is well known in the wisdom of nature.	test
common_voice_ja_19485885.mp3	The soldier looked all around him in the darkness.	test
common_voice_ja_19485886.mp3	You have to keep your room tidy!	test
common_voice_ja_19485887.mp3	I heard that a new student is coming next month.	test
common_voice_ja_20037233.mp3	He couldn't do his job because he was sick.	test
common_voice_ja_20037234.mp3	Today again, cries of “Let’s win this thing!” gradually began to set in.	test
common_voice_ja_20037235.mp3	You can’t deny that he was handsome when he was young.	test
common_voice_ja_20037236.mp3	She is sewing a dress.	test
common_voice_ja_20037237.mp3	My dad is a great driver.	test
common_voice_ja_20037278.mp3	She took care of her sick husband.	test
common_voice_ja_20037281.mp3	They cleaned my room for me.	test
common_voice_ja_20037283.mp3	It is tough being poor but there is no shame in it.	test
common_voice_ja_20037285.mp3	Don’t run around the middle of the room!	test
common_voice_ja_20037287.mp3	They said they were hungry.	test
common_voice_ja_20037895.mp3	After talking to my father, I decided to change jobs.	test
common_voice_ja_20037896.mp3	The teacher called Yamada’s name.	test
common_voice_ja_20037897.mp3	Before the police arrived, the injured man had been lying in the road.	test
common_voice_ja_20037898.mp3	She isn’t just beautiful. She is also kind-hearted and intelligent.	test
common_voice_ja_20037899.mp3	This is my notebook.	test
common_voice_ja_20037939.mp3	The blue, blue ocean is as beautiful as a woman.	test
common_voice_ja_20037940.mp3	Surgery at the clinic takes less than 30 minutes.	test
common_voice_ja_20037943.mp3	She had made it her routine to play tennis every Sunday.	test
common_voice_ja_20037945.mp3	The set meals at that diner are cheap and tasty.	test
common_voice_ja_20037947.mp3	She looked at me sadly.	test
common_voice_ja_20038074.mp3	Father got a lawyer to draw up a will.	test
common_voice_ja_20038075.mp3	There are two trees in our garden.	test
common_voice_ja_20038076.mp3	As my father died of cancer, I thought about starting to do some research into cancer.	test
common_voice_ja_20038077.mp3	There is no-one who doesn’t hope for peace.	test
common_voice_ja_20038078.mp3	How do you get to work?	test
common_voice_ja_20038315.mp3	I do my work on a computer.	test
common_voice_ja_20038316.mp3	The patient is already over the worst of it.	test
common_voice_ja_20038317.mp3	She has been studying so, of course, she will get good grades.	test
common_voice_ja_20038318.mp3	The books in this room aren’t mine.	test
common_voice_ja_20038319.mp3	Until Manet painted this picture, nude women in paintings were depicted only as goddesses.	test
common_voice_ja_20038330.mp3	Can you give me some information on how I can watch the dance?	test
common_voice_ja_20038331.mp3	I borrowed a book from the library and read it.	test
common_voice_ja_20038332.mp3	She is a charming, reliable person.	test
common_voice_ja_20038333.mp3	She spends her free time making dolls.	test
common_voice_ja_20038334.mp3	Sometimes poverty drives people to commit crimes.	test
common_voice_ja_20048500.mp3	Spreadsheet software can come in handy if you know how to use it.	test
common_voice_ja_20048501.mp3	Tomorrow will be hot with temperatures reaching 30 degrees.	test
common_voice_ja_20048502.mp3	The more they got angry, the more it was like a red rag to a bull.	test
common_voice_ja_20048503.mp3	There is a tree in the park.	test
